"pathway","num_genes","num_TGs","min","q25","mean","median","q75","max","TG_prop"
"EVADING GROWTH SUPPRESSORS",3259,747,1,10,59.8072289156626,23,56,802,0.229211414544339
"EVADING IMMUNE DESTRUCTION",735,202,1,8,48.6831683168317,22.5,53.25,516,0.274829931972789
"GENOME INSTABILITY",729,226,1,10,50.6681415929204,21.5,50.75,592,0.310013717421125
"REPLICATIVE IMMORTALITY",538,163,1,10,73.9263803680982,30,84.5,845,0.302973977695167
"REPROGRAMMING ENERGY METABOLISM",727,221,1,10,62.5429864253394,26,66,686,0.303988995873453
"RESISTING CELL DEATH",1911,546,1,10,61.7051282051282,25,57,845,0.285714285714286
"SUSTAINED ANGIOGENESIS",783,218,1,9,62.5,23.5,62.5,845,0.278416347381865
"SUSTAINING PROLIFERATIVE SIGNALING",3538,856,1,9,61.5841121495327,23,58,845,0.241944601469757
"TISSUE INVASION AND METASTASIS",2277,705,1,10,63.2836879432624,25,61,915,0.30961791831357
"TUMOR-PROMOTING INFLAMMATION",751,192,1,8,52.890625,23.5,56.25,516,0.255659121171771
