"pathway","Description","setSize","enrichmentScore","NES","p_value","padj","qvalue","rank","leading_edge","core_enrichment"
"TISSUE INVASION AND METASTASIS","TISSUE INVASION AND METASTASIS",588,-0.349935905981221,-1.58076886166193,9.46836027608866e-07,9.46836027608866e-06,7.9733560219694e-06,906,"tags=30%, list=22%, signal=27%","BMPR2/CASP9/YAP1/CNTN2/CSNK2A2/NCOR1/MAPK14/RFLNB/PTPRD/SCARF1/SKP1/SIAH1/NLGN2/HOXA11/HNF1A/AMHR2/AKNA/BCL9L/SHC2/EPHA5/DST/KITLG/MAPK8IP1/GAS8/RBPJ/GAB2/PCDHB15/PPM1B/PLA2G4A/TSPAN11/TIMP2/PLCB1/JAK2/PTPN11/WNT9A/SH3PXD2A/AMIGO1/ATM/COL16A1/CUX1/PTPRS/RASA3/SCN1B/MAP3K14/CDSN/PCDH7/EPS8/DOCK1/MAPK4/CCN5/ATN1/RADIL/FAT3/NTN1/NRG2/CDH19/PCDHA1/CREBBP/BDNF/AFF4/EPHA6/PLXNA4/PPARA/FBXW11/SHROOM1/FREM3/GAB1/ETS2/JUND/NRXN1/BGLAP/SYDE2/ITSN1/GNAQ/GATA1/ASH1L/LRRC4B/CHD4/CD99L2/GNA11/FBXO11/FER/FYN/CSNK1A1/VLDLR/EXOC7/SKI/UNC5C/CACNA2D1/ANK2/MAP4/MPL/MRAS/ENTPD1/PREX2/SOCS3/CFLAR/TGFBR2/SHANK3/PHACTR1/DCHS2/MEF2C/RPS6KA5/NFATC3/LIFR/PITX2/KMT2A/PLA2G5/BOC/JCAD/TMEM8B/NFATC4/MAP3K3/GADD45B/ROCK1/PCDHGC3/DDR2/LAMC3/ACTN2/PDGFRA/ADCY5/MAPT/PRKG1/ITGA5/AKAP13/WNT2B/ITGA10/ITGA1/MPDZ/GIT2/HSPG2/PARD3B/SYNGAP1/ABI2/MAP1B/GNG7/DCHS1/TGFB1I1/AOC3/PIP5K1C/NEGR1/MYH11/KRIT1/RHOB/PARVA/TNXB/JAM3/ITPR1/PCDHGA10/GNAL/PCDHGB1/RAP1A/STAT5B/TLN1/ABL1/PCDHGB4/PCDHGB2/PCDHGC5/PCDHGA7/DIABLO/PCDHGB7/PCDHGB6/PCDHGA1/PCDHGA9/LY6G5B/PCDHGA2/PCDHGA4/PCDHGB3/PCDHGC4/PCDHGA6/NDE1/PCDHGA12/LAT/PCDHGA3/PCDHGA8/PCDHGA5/PCDHGA11"
"GENOME INSTABILITY","GENOME INSTABILITY",185,0.321564926947691,1.62384403064764,9.66389045116301e-05,0.00048319452255815,0.000406900650575284,637,"tags=26%, list=15%, signal=24%","UHRF1/POLQ/CDC6/BLM/HROB/CASP2/BRIP1/TIMELESS/CLSPN/PCLAF/FANCD2/CDC25A/WDHD1/TERT/PARPBP/BRCA1/UNG/CHAF1A/RPA3/PIF1/BAX/SEM1/CDKN2A/TRAF2/NUDT1/TTF2/WRNIP1/PALB2/CASP3/OTUB1/SIRT6/TP73/POLB/XRCC4/POLD2/SHISA5/APTX/CYP1A2/AP5Z1/NSMCE2/PHF6/MET/RAC1/GTF2H3/HDGFL2/DCLRE1C/RAD1/HRAS/FANCA"
"SUSTAINED ANGIOGENESIS","SUSTAINED ANGIOGENESIS",182,-0.305861569414193,-1.2798340068371,0.072093023255814,0.182555780933063,0.153731183943632,906,"tags=31%, list=22%, signal=26%","BMPR2/CASP9/YAP1/FLT3/MAPK14/AMHR2/SHC2/KITLG/C3/PLA2G4A/TIMP2/PLCB1/PTPN11/MYO18B/HOXA13/WNT9A/CUX1/GJC1/EDA/STIM1/PLEKHO2/GAB1/C5/GNAQ/GATA1/PROK1/GNA11/FYN/IL17B/ANK2/MPL/MRAS/GHR/TGFBR2/PTGIS/LIFR/KMT2A/LEPR/RUNX1T1/PDCD6/RECK/ROCK1/TBX20/PDGFRA/IL11RA/ITGA5/AKAP13/WNT2B/HSPG2/SDHA/KRIT1/RHOB/ITPR1/CXCR5/ABL1/EGLN1/FLT3LG"
"EVADING GROWTH SUPPRESSORS","EVADING GROWTH SUPPRESSORS",620,-0.257887594388587,-1.16671282738047,0.0730223123732252,0.182555780933063,0.153731183943632,935,"tags=27%, list=22%, signal=24%","SOD2/ARHGAP28/KAT2B/KIF26A/PPP1R13B/BECN1/NFAT5/BMPR2/CASP9/YAP1/GPR183/RASD1/CHERP/FLT3/PI4KA/FBN1/NCOR1/MAPK14/SKP1/DIRAS1/CREBL2/HOXA11/HNF1A/AMHR2/PDE3A/SHC2/KITLG/MAPK8IP1/GAS8/C3/PRMT2/GPR55/LDLRAD4/GAB2/RBM38/PLA2G4A/PLCB1/JAK2/SRGAP3/PTPN11/TOM1L2/WNT9A/ATM/GAS6/CUX1/KPNA1/RASA3/MAP3K14/IMPA2/DOCK1/MAPK4/CCN5/SMARCA2/RADIL/C1QTNF4/NRG2/CDH19/GDF9/CREBBP/TIRAP/PDE8B/BDNF/SOCS5/PTGER3/TXNRD1/PLXNA4/FBXW11/NEURL1/GAB1/NPPA/ETS2/NRXN1/SYDE2/GABBR1/RPTOR/DUSP22/CD200/GNAQ/GATA1/SCUBE3/KLF11/PROK1/CSPG4/HPGDS/GNA11/FER/PDE7B/CSNK1A1/NMUR1/VLDLR/MYO9A/SKI/PPP1R1A/KIF13B/UNC5C/IL17B/ANK2/MAP4/MPL/CHD5/IL16/MRAS/SOCS3/TGFBR2/ZEB2/RPS6KA5/CNGA3/RABEP1/PITX2/STARD8/SLIT2/CRB2/ARHGAP1/RGS5/TACR3/PLA2G5/AKAP12/MSMP/ADRB3/CAP2/ATF3/RUNX1T1/SCUBE1/MAP3K3/RECK/LRRK2/ROCK1/SH3BP5/DDR2/PDGFRA/PKD2/PRKG1/ITGA5/ABI3BP/EBF1/WNT2B/CMTM5/ITGA1/SYNGAP1/GNG7/TGFB1I1/CRYAB/DCUN1D3/PLCL1/RHOB/PER1/TNXB/PDE4D/SPEG/PDE2A/TTBK2/ITPR1/ADARB1/CXCR5/TEAD1/GNAL/RAP1A/PDE4C/STAT5B/HDAC4/NACC2/ABL1/TSPYL2/FLT3LG/LAT/SPNS1"
"TUMOR-PROMOTING INFLAMMATION","TUMOR-PROMOTING INFLAMMATION",163,-0.288845984307809,-1.19273682854026,0.13491124260355,0.224852071005917,0.189349112426036,899,"tags=27%, list=21%, signal=22%","CNTN2/CSNK2A2/NCOR1/MAPK14/PTPRD/NLGN2/SHC2/C3/PIANP/PLCB1/JAK2/PTPN11/C1R/ATM/MAP3K14/COLEC12/CREB5/TIRAP/NRXN1/CD200/GNAQ/LRRC4B/GNA11/SOCS3/CFLAR/RPS6KA5/KMT2A/DYNC1I1/ATP6V1G2/GADD45B/ROCK1/ACTN2/ADCY5/PRKG1/ITGA5/AKAP13/GNG7/NEGR1/JAM3/CXCR5/RAP1A/STAT5B/LY6G5B/LAT"
"SUSTAINING PROLIFERATIVE SIGNALING","SUSTAINING PROLIFERATIVE SIGNALING",709,-0.248826372031504,-1.12923022654978,0.121703853955375,0.224852071005917,0.189349112426036,911,"tags=25%, list=22%, signal=23%","NFAT5/BMPR2/CASP9/YAP1/GPR183/SLC22A3/RASD1/CSNK2A2/CDK11B/FLT3/CRTC1/PI4KA/FBN1/NCOR1/MAPK14/SKP1/DIRAS1/SIAH1/CREBL2/NLGN2/NCOA1/HOXA11/AMHR2/BCL9L/PDE3A/SHC2/KITLG/MAPK8IP1/C3/PRMT2/GPR55/GAB2/PPM1B/PLA2G4A/DHH/PLCB1/JAK2/SRGAP3/PTPN11/TOM1L2/WNT9A/ATM/GAS6/CUX1/RASA3/MAP3K14/IMPA2/EPS8/DOCK1/CCN5/SMARCA2/RADIL/C1QTNF4/NRG2/GDF9/CREBBP/CREB5/TIRAP/PDE8B/BDNF/SOCS5/PTGER3/TXNRD1/AFF4/PLXNA4/PPARA/FBXW11/GAB1/NPPA/ETS2/JUND/NRXN1/SYDE2/GABBR1/RPTOR/DUSP22/GNAQ/GATA1/SCUBE3/PROK1/CSPG4/HPGDS/GNA11/FBXO11/FER/PDE7B/FYN/CSNK1A1/NMUR1/VLDLR/CLIP1/MYO9A/PPP1R1A/KIF13B/UNC5C/CACNA2D1/IL17B/ANK2/MPL/IL16/MRAS/GHR/TACC1/SOCS3/CFLAR/TGFBR2/USP47/MEF2C/RPS6KA5/CNGA3/NFATC3/LIFR/RABEP1/PITX2/STARD8/CRB2/ARHGAP1/KMT2A/TACR3/LEPR/PLA2G5/AKAP12/MSMP/BOC/ADRB3/CAP2/ATF3/SCUBE1/PTCH2/NFATC4/MAP3K3/GADD45B/LRRK2/ROCK1/SH3BP5/DDR2/LAMC3/ACTN2/PDGFRA/MAPT/IL11RA/PRKG1/ITGA5/WNT2B/CMTM5/ITGA10/ITGA1/HSPG2/SYNGAP1/MEIS2/GNG7/UBC/PIP5K1C/MAZ/PLCL1/THRA/TNXB/PDE4D/SMARCE1/PDE2A/TTBK2/ITPR1/CXCR5/TEAD1/GNAL/RAP1A/PDE4C/STAT5B/HDAC4/RAB23/ABL1/LY6G5B/FLT3LG/LAT/SPNS1"
"REPROGRAMMING ENERGY METABOLISM","REPROGRAMMING ENERGY METABOLISM",186,-0.268131954695465,-1.12281554657288,0.239583333333333,0.342261904761905,0.288220551378446,1015,"tags=30%, list=24%, signal=24%","VASN/INS/CBFA2T3/OGDH/PPARGC1A/RTN4/TIGAR/EEF2/SOD2/ACO1/UQCRC2/FLT3/MAPK14/USP8/NDUFS1/PLCB1/JAK2/ATM/NDUFA11/TBC1D1/UQCR11/TFE3/CREBBP/CREB5/PPARA/JUND/RPTOR/PFKM/GNAQ/MPL/CFLAR/TGFBR2/CAMKK1/SIK2/PTGIS/RGN/LEPR/CPEB2/GADD45B/DDR2/PDGFRA/ADH1B/ALDH1B1/SDHA/CPEB1/KLF2/NDUFS7/ITPR1/SLC2A4/SLC25A25/ACACB/ABL1/NDUFV2/EGLN1/ALDOA/GABARAP"
"RESISTING CELL DEATH","RESISTING CELL DEATH",456,-0.210412093424361,-0.940634240851819,0.665977249224405,0.775805391190007,0.653309803107374,885,"tags=22%, list=21%, signal=19%","FLT3/NCOR1/MAPK14/SKP1/SIAH1/SON/AHI1/HOXA11/HNF1A/AMHR2/PDE3A/SHC2/KITLG/GAB2/PLA2G4A/PLCB1/JAK2/PTPN11/SETX/ATM/GAS6/CUX1/KPNA1/MAP3K14/EPS8/DOCK1/MAPK4/EDA/NTN1/NRG2/CREBBP/CREB5/BDNF/SESN1/PPARA/PLEKHO2/GAB1/RPTOR/PSMA1/GNAQ/GATA1/FBXO11/FYN/UNC5C/IL17B/MAP4/MPL/FKBP5/GHR/SOCS3/CFLAR/TGFBR2/USP47/DENND2B/MEF2C/RPS6KA5/LIFR/PITX2/RGN/WFS1/KMT2A/LEPR/ACTC1/MAP3K3/AP3S2/GADD45B/ROCK1/SH3BP5/DDR2/LAMC3/PDGFRA/IL11RA/PRKG1/ITGA5/ITGA10/ITGA1/HSPG2/HIPK3/GNG7/CRYAB/ZFP36/PARVA/PER1/KLF2/TNXB/ITPR1/SLC2A4/CXCR5/RAP1A/STAT5B/MEF2D/PSEN2/CLN3/ABL1/DIABLO/FLT3LG/LAT/IDS/TXNDC5/GABARAP"
"EVADING IMMUNE DESTRUCTION","EVADING IMMUNE DESTRUCTION",163,-0.216700012916192,-0.894823193646542,0.698224852071006,0.775805391190007,0.653309803107374,893,"tags=22%, list=21%, signal=18%","C1S/MAPK14/PTPRD/SHC2/C3/GAB2/PIANP/PLCB1/JAK2/PTPN11/CLU/C1R/CUX1/MAP3K14/TIRAP/SOCS5/C5/CD200/FYN/SOCS3/CFB/NFATC3/KMT2A/TREX1/POLR3H/ROCK1/ACTN2/ADCY5/GNG7/F10/JAM3/CFD/CXCR5/RAP1A/STAT5B/LAT"
"REPLICATIVE IMMORTALITY","REPLICATIVE IMMORTALITY",140,-0.197058594653099,-0.800413405765972,0.870772946859903,0.870772946859903,0.733282481566234,906,"tags=23%, list=22%, signal=19%","BMPR2/CSNK2A2/MAPK14/SKP1/SIAH1/HNF1A/AMHR2/PLCB1/JAK2/WNT9A/ATM/CREBBP/PPARA/FBXW11/ETS2/JUND/CSNK1A1/TGFBR2/NFATC3/LIFR/PITX2/KMT2A/SMG6/NFATC4/ROCK1/WNT2B/PIGF/RHOB/RAP1A/ABL1/LY6G5B/RAD50"
